Category,Jan 2025,Feb 2025,Mar 2025,Apr 2025,5/1/25 0:00,Jun 2025,Nonzero Month Count,One Time Expense,Marginal Cost per $1 GP,Fixed Cost Estimate,R² Linear,Elasticity (Log-Log),Anchor Month Deviates from Trend ($),Model Status,Estimated Anchor Month Expense,Reconciled Anchor Month Expense,Estimated Future Expense,Mean Jan–May Expense,Mean Jan–June Expense,June vs Jan–May Avg ($),Ratio_Change_June_vs_MeanPrior,Expense vs Profit Growth Ratio,Best Performing (Cost Decline Rank),Efficiency Alert,Elasticity Classification,Margin Risk,Performance Diagnostic Assignment,Marketing Spend Efficiency,Ranking Priority
      613300 Liability,157.29,157.29,157.29,157.29,157.3,157.3,6,FALSE,0,157.2933333,0.2609,0,0.007996045,Clamped,157.2933333,25.48323441,157.2933333,157.292,157.2933333,0.008,5.08608E-05,2.70222E-05,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,11
Expenses,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,12
   600100 Payroll expenses,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,13
   610000 Supplies,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,14
   612000 Professional Fees,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,15
   613000 Insurance,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,16
   616000 Employee Benefits,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,17
   620000 Taxes,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,18
   650000 Depreciation Expense,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,19
   689000 Unapplied Cash Bill Payment Expense,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,Insufficient-data,0,0,0,0,0,0,0,0,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,20
   611500 Printing & Reproduction,539.88,346.04,130.85,0,346.97,267.69,5,FALSE,0,271.905,0.3137,0,48.87064873,Clamped,271.905,44.05157361,271.905,272.748,271.905,-5.058,-0.018544591,-0.009852698,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,21
   Total 613000 Insurance,233.39,239.43,234.45,230.6,259.61,222.26,6,FALSE,0,236.6233333,0.816,0,-8.62572624,Clamped,236.6233333,38.33555906,236.6233333,239.496,236.6233333,-17.236,-0.071967799,-0.038236325,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,22
      613200 Workers Comp,76.1,82.14,77.16,73.31,102.31,64.96,6,FALSE,0,79.33,0.8158,0,-8.633722284,Clamped,79.33,12.85232465,79.33,82.204,79.33,-17.244,-0.209770814,-0.111450749,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,23
   Total 617000 Bank & Merchant Fees,0,2.94,0,94.99,0,2.2,3,FALSE,0.0006,7.784981418,0.302,0,-25.1184749,Modeled,27.06581342,4.384956776,27.06581342,19.586,16.68833333,-17.386,-0.88767487,-0.471619609,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,24
   617000 Bank & Merchant Fees,0,0,0,94.99,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,18.998,15.83166667,-18.998,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,25
      617400 Licenses & Permits,100,0,0,0,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,20,16.66666667,-20,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,26
   631000 Franchise Costs,125,0,0,0,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,25,20.83333333,-25,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,27
   618000 Meetings & Events,172,0,0,0,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,34.4,28.66666667,-34.4,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,28
   617550 Medical Waste Disposal,380.77,277.8,324.77,272.8,331.5,281.03,6,FALSE,0,311.445,0.1743,0,-21.51996852,Clamped,311.445,50.45748458,311.445,317.528,311.445,-36.498,-0.114944194,-0.061069585,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,29
      620600 Franchise Tax,0,0,0,200,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,40,33.33333333,-40,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,30
   617300 Interest Expense,0,0,0,0,264.56,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,52.912,44.09333333,-52.912,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,31
   615000 Travel,396.58,0,0,0,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,79.316,66.09666667,-79.316,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,32
      610200 Uniforms,0,0,0,0,519.22,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,103.844,86.53666667,-103.844,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,33
      652000 Furniture & Fixtures,211.54,105.77,105.77,0,105.77,0,4,FALSE,0,88.14166667,0.1968,0,-70.33831556,Clamped,88.14166667,14.27991069,88.14166667,105.77,88.14166667,-105.77,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,34
   610700 Telephone,711.34,318.91,395.95,581.1,329.99,348.74,6,FALSE,0,447.6716667,0.1311,0,-128.3878747,Clamped,447.6716667,72.52768937,447.6716667,467.458,447.6716667,-118.718,-0.253965062,-0.134931051,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,35
   616200 Training/Education,799,200,200,200,200,200,6,FALSE,0,299.8333333,0.0009,0,-96.04547721,Clamped,299.8333333,48.57626801,299.8333333,319.8,299.8333333,-119.8,-0.374609131,-0.199028966,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,36
   616300 Meals,325.63,281.48,249.01,82.6,96,47,6,FALSE,0,180.2866667,0.0007,0,-131.6686854,Clamped,180.2866667,29.20840502,180.2866667,206.944,180.2866667,-159.944,-0.772885418,-0.410632238,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,37
   420000 Services - Doctors,220.02,588,0,0,0,0,2,FALSE,0,134.67,0,0,0,Insufficient-data,134.67,21.81800783,134.67,161.604,134.67,-161.604,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,38
      651000 Equipment & Computers,604.98,302.49,302.49,0,302.49,0,4,FALSE,0,252.075,0.1968,0,-201.1594694,Clamped,252.075,40.83889748,252.075,302.49,252.075,-302.49,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,39
      614100 Employment/Recruiting,579.63,340.87,409.29,200,0,0,4,FALSE,0,254.965,0.0705,0,-286.0416123,Clamped,254.965,41.30710898,254.965,305.958,254.965,-305.958,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,40
      620500 Property taxes,6967.81,0,0,0,0,0,1,TRUE,0,0,0,0,0,One-time,0,0,0,1393.562,1161.301667,-1393.562,-1,-0.531297691,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,,41
Net Operating Income,12470.41,9542.48,29413.47,52918.28,-48597.47,32134.72,6,FALSE,1,5.45697E-12,1,0,7.27596E-12,Modeled,32134.72,5206.17489,32134.72,11149.434,14646.98167,20985.286,1.882183975,1,,Matched,Fixed or unresponsive,FALSE,Cost Spike – Monitor,,42
Total Income,141764.07,115152.98,144090.18,147081.04,81394.06,138129,6,FALSE,0.6858,117889.8532,0.8706,0,-1799.871935,Modeled,139927.8442,22669.83589,139927.8442,125896.466,127935.2217,12232.534,0.097163442,0.051622713,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,43
Gross Profit,141764.07,115152.98,144090.18,147081.04,81394.06,138129,6,FALSE,0.6858,117889.8532,0.8706,0,-1799.871935,Modeled,139927.8442,22669.83589,139927.8442,125896.466,127935.2217,12232.534,0.097163442,0.051622713,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,44
   400000 Management Fees,141494.05,114685,144090.18,147081.04,81394.06,137270.12,6,FALSE,0.6838,117653.0124,0.8688,0,-2357.615518,Modeled,139626.734,22621.05276,139626.734,125748.866,127669.075,11521.254,0.091621136,0.048678098,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,45
   Total 612000 Professional Fees,5571.74,5913.14,7370.66,8740.94,11940.83,11670.75,6,FALSE,0,8534.676667,0.0972,0,3571.990915,Clamped,8534.676667,1382.710643,8534.676667,7907.462,8534.676667,3763.288,0.47591604,0.252853093,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Cost Spike – Monitor,,46
      612400 Consulting Fees,0,0,0,0,4164.45,4000,2,FALSE,0,1360.741667,0,0,0,Insufficient-data,1360.741667,220.4549813,1360.741667,832.89,1360.741667,3167.11,3.802554959,2.02028867,,Expense Outpaced Profit,Fixed or unresponsive,FALSE,Cost Spike – Monitor,,47
   610800 Repairs & maintenance,2937.12,569.99,1567.98,385.98,210,2185.82,6,FALSE,0,1309.481667,0.0782,0,720.7095674,Clamped,1309.481667,212.1503026,1309.481667,1134.214,1309.481667,1051.606,0.927167184,0.492601784,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Cost Spike – Monitor,,48
   618100 Cleaning,700,700,700,0,1050,900,5,FALSE,0,675,0.5285,0,356.9825534,Clamped,675,109.3573571,675,630,675,270,0.428571429,0.22769901,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,49
      612100 Medical Billing,5307.36,5913.14,7305.66,8615.94,7711.38,7155.75,6,FALSE,0,7001.538333,0.0253,0,57.39904696,Clamped,7001.538333,1134.325523,7001.538333,6970.696,7001.538333,185.054,0.026547421,0.014104583,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,50
   610400 Building & land rent,16000,16000,16000,16000,16720,16240,6,FALSE,0,16160,0.6721,0,200.1027914,Clamped,16160,2618.096135,16160,16144,16160,96,0.005946482,0.003159352,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,51
   Total 610600 Utilities,860.45,869.36,742,874.36,874.36,893.45,6,FALSE,0,852.33,0.0268,0,45.66639522,Clamped,852.33,138.0867499,852.33,844.106,852.33,49.344,0.058457113,0.031058129,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,52
      610500 Gas & Electricity,737,737,742,742,742,770,6,FALSE,0,745,0.0589,0,23.47162246,Clamped,745,120.6981201,745,740,745,30,0.040540541,0.021539096,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,53
      600300 Salaries & Wages - MA,6500.13,7579.41,6602.87,6888.29,11106.38,7730.62,6,FALSE,0,7734.616667,0.7469,0,748.3004565,Clamped,7734.616667,1253.092203,7734.616667,7735.416,7734.616667,-4.796,-0.000620005,-0.000329407,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,54
      600800 Payroll Professional Fee,968,902,902,952,1230,820,6,FALSE,0,962.3333333,0.6967,0,-83.04083718,Clamped,962.3333333,155.9084889,962.3333333,990.8,962.3333333,-170.8,-0.172385951,-0.091588258,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,55
      618200 Software & apps,1250.69,994.21,637,1188,1725.35,965.18,6,FALSE,0,1126.738333,0.5127,0,-30.34078598,Clamped,1126.738333,182.5438908,1126.738333,1159.05,1126.738333,-193.87,-0.167266296,-0.088868197,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,56
      612200 Software,4545.86,4531.8,4148.78,3631.68,3738.19,3918.33,6,FALSE,0,4085.773333,0,0,-165.4909667,Clamped,4085.773333,661.9398126,4085.773333,4119.262,4085.773333,-200.932,-0.04877864,-0.025915979,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,57
      614200 Internet & Social media,3691.42,6285.33,6063.56,8135.66,7006.91,5925.37,6,FALSE,0,6184.708333,0.007,0,-321.0902309,Clamped,6184.708333,1001.99016,6184.708333,6236.576,6184.708333,-311.206,-0.049900138,-0.026511828,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,Under-Leveraged,58
   611000 Computer Supplies & Software,940.88,1270.3,266.8,266.8,266.8,266.8,6,FALSE,0,546.3966667,0.0073,0,-260.4519257,Clamped,546.3966667,88.52221542,546.3966667,602.316,546.3966667,-335.516,-0.557043147,-0.295955738,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,59
   610900 Office Supplies,967.37,823.31,479.59,340.69,1240.61,345.48,6,FALSE,0,699.5083333,0.8363,0,-183.7544298,Clamped,699.5083333,113.3279742,699.5083333,770.314,699.5083333,-424.834,-0.551507567,-0.293014697,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,60
      613500 Employee Health,1488.66,952.71,1296.8,1772.26,1791.52,903.73,6,FALSE,0,1367.613333,0.0768,0,-409.7662124,Clamped,1367.613333,221.5682662,1367.613333,1460.39,1367.613333,-556.66,-0.381172153,-0.202515885,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,61
   617500 Lab Fees,2648.43,634.14,1657,377.72,2703.03,937.94,6,FALSE,0,1493.043333,0.5044,0,-193.0229553,Clamped,1493.043333,241.8892933,1493.043333,1604.064,1493.043333,-666.124,-0.415272707,-0.220633431,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,62
   617025 Amortization expenses,1333.34,666.67,666.67,0,666.67,0,4,FALSE,0,555.5583333,0.1968,0,-443.3435268,Clamped,555.5583333,90.00650527,555.5583333,666.67,555.5583333,-666.67,-1,-0.531297691,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,63
      600700 Payroll Taxes,2738.62,2918.84,2668.11,2485.72,3463.62,2182.74,6,FALSE,0,2742.941667,0.8019,0,-364.9258245,Clamped,2742.941667,444.3864465,2742.941667,2854.982,2742.941667,-672.242,-0.235462781,-0.125100832,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,64
   Total 611000 Computer Supplies & Software,6737.43,6796.31,5052.58,5086.48,5730.34,5150.31,6,FALSE,0,5758.908333,0.1361,0,-456.2836784,Clamped,5758.908333,933.0059189,5758.908333,5880.628,5758.908333,-730.318,-0.124190478,-0.065982114,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,65
      616100 Officer Health Insurance,578.99,838.22,838.22,0,2315.96,0,4,FALSE,0,761.8983333,0.8945,0,-356.2201666,Clamped,761.8983333,123.4358343,761.8983333,914.278,761.8983333,-914.278,-1,-0.531297691,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,66
   Total 620000 Taxes,7067.81,0,0,200,0,0,2,FALSE,0,1211.301667,0,0,0,Insufficient-data,1211.301667,196.2440725,1211.301667,1453.562,1211.301667,-1453.562,-1,-0.531297691,2,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,67
   Total 616000 Employee Benefits,2067.65,1790.93,2135.02,1772.26,4107.48,903.73,6,FALSE,0,2129.511667,0.735,0,-765.986379,Clamped,2129.511667,345.0041005,2129.511667,2374.668,2129.511667,-1470.938,-0.619428905,-0.329101147,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,68
      653000 Medical Equipment,3193.66,1596.83,1596.83,0,1596.83,0,4,FALSE,0,1330.691667,0.1968,0,-1061.911056,Clamped,1330.691667,215.5865538,1330.691667,1596.83,1330.691667,-1596.83,-1,-0.531297691,3,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,69
      600600 Salaries & Wages - Admin,6653.87,7328.86,6653.86,7240.44,8192.34,5461.56,6,FALSE,0,6921.821667,0.3928,0,-1172.207121,Clamped,6921.821667,1121.410554,6921.821667,7213.874,6921.821667,-1752.314,-0.242908873,-0.129056923,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,70
   614000 Marketing & Advertising,5998.14,2512.91,4456.1,2741.61,2249.08,1783.93,6,FALSE,0,3290.295,0.0147,0,-1604.560269,Clamped,3290.295,533.0636524,3290.295,3591.568,3290.295,-1807.638,-0.503300508,-0.267402398,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,71
   Total 650000 Depreciation Expense,4010.18,2005.09,2005.09,0,2005.09,0,4,FALSE,0,1670.908333,0.1968,0,-1333.408841,Clamped,1670.908333,270.705362,1670.908333,2005.09,1670.908333,-2005.09,-1,-0.531297691,1,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,72
      630000 Royalties,14421.21,11668.14,12793,11204.77,10828.08,9949.43,6,FALSE,0,11810.77167,0.0034,0,-1907.701797,Clamped,11810.77167,1913.473741,11810.77167,12183.04,11810.77167,-2233.61,-0.183337656,-0.097406873,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,73
   Total 631000 Franchise Costs,14546.21,11668.14,12793,11204.77,10828.08,9949.43,6,FALSE,0,11831.605,0.0031,0,-1927.744676,Clamped,11831.605,1916.848968,11831.605,12208.04,11831.605,-2258.61,-0.185010043,-0.098295408,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,74
   Total 614000 Marketing & Advertising,10269.19,9139.11,10928.95,11077.27,9255.99,7709.3,6,FALSE,0,9729.968333,0.0876,0,-2211.692112,Clamped,9729.968333,1576.360921,9729.968333,10134.102,9729.968333,-2424.802,-0.239271521,-0.127124407,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,Under-Leveraged,75
      600250 Salaries & Wages - Front desk,6112.59,6105.5,6316.22,3097.33,4401.65,2746.19,6,FALSE,0,4796.58,0.0507,0,-1867.302423,Clamped,4796.58,777.09824,4796.58,5206.658,4796.58,-2460.468,-0.472561862,-0.251071026,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,76
      600200 Salaries & Wages - X-Ray,11298.13,11966.02,11697.69,12230.22,17488.21,10124.11,6,FALSE,0,12467.39667,0.7044,0,-1257.116018,Clamped,12467.39667,2019.854148,12467.39667,12936.054,12467.39667,-2811.944,-0.217372624,-0.115489573,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,77
      610100 Medical,15541.84,9262.11,15982.64,3252.65,13116,8041.35,6,FALSE,0,10866.09833,0.2291,0,-1635.00612,Clamped,10866.09833,1760.426364,10866.09833,11431.048,10866.09833,-3389.698,-0.296534316,-0.157547997,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,78
   Total 610000 Supplies,15541.84,9262.11,15982.64,3252.65,13635.22,8041.35,6,FALSE,0,10952.635,0.2618,0,-1626.13858,Clamped,10952.635,1774.446248,10952.635,11534.892,10952.635,-3493.542,-0.302867335,-0.160912716,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,79
   Total 600100 Payroll expenses,34271.34,36800.63,34840.75,32894,45882.2,29065.22,6,FALSE,0,35625.69,0.8112,0,-3996.291767,Clamped,35625.69,5771.75008,35625.69,36937.784,35625.69,-7872.564,-0.213130382,-0.11323568,,Profit Outpaced Expense,Fixed or unresponsive,FALSE,Stable or Fixed – Low Concern,,80
