Category,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,Jun-25,Nonzero Month Count,One Time Expense,Marginal Cost per $1 GP,Fixed Cost Estimate,R_ Linear,GP Elasticity (Log-Log),Anchor Month Deviates from Trend ($),Model Status,Model Fixed Component (Anchor),Model Variable Component (Anchor),"Expected Anchor (Model, Unscaled)",Expected Anchor (Smoothed),Expected Anchor (Section-Reconciled),Reconciled Anchor Month Expense (Legacy Global),Reconciled Anchor Month Expense,Estimated Anchor Month Expense,Mean Prior Months Expense,Mean All Months Expense,Anchor vs Prior Avg ($),Ratio_Change_Anchor_vs_MeanPrior,Expense vs GP Growth Ratio,Expense Growth Alignment,Best Performing (Cost Decline Rank),Efficiency Alert,GP Elasticity Classification,Margin Risk Assessment,Performance Diagnostic Assignment,Marketing Spend Efficiency,Expense Trend Slope,Gross Profit Trend Slope,Trend Diagnostic,Anchor Month Scenario,Ranking Priority,Section Code,Section Scale (Variable),Section Scale (Fixed),Actual Anchor Expense,Model Quality Weight,Expected (Reconciled),Excess_$,Excess_%_of_Expected,Prior Avg Expense,Excess Rank (Abs Desc),Excess_February 2024,Excess_March 2024,Excess_April 2024,Excess_May 2024,Excess_June 2024,Excess_July 2024,Excess_August 2024,Excess_September 2024,Excess_October 2024,Excess_November 2024,Excess_December 2024,Excess_January 2025,Excess_February 2025,Excess_March 2025,Excess_April 2025,Excess_May 2025,Excess_June 2025,GP Growth % [February 2024],GP Growth % [March 2024],GP Growth % [April 2024],GP Growth % [May 2024],GP Growth % [June 2024],GP Growth % [July 2024],GP Growth % [August 2024],GP Growth % [September 2024],GP Growth % [October 2024],GP Growth % [November 2024],GP Growth % [December 2024],GP Growth % [January 2025],GP Growth % [February 2025],GP Growth % [March 2025],GP Growth % [April 2025],GP Growth % [May 2025],GP Growth % [June 2025],Total Excess Costs (5% Buffer),# of Months Outpaced Growth,# of Months Did Not Decline with Profit,# of Months Opposite Direction than Profit,# of Months Outpaced Growth - Actual Months,# of Months Did Not Decline with Profit - Actual Months,# of Months Opposite Direction than Profit - Actual Months,Expense Growth % [February 2024],Expense Growth % [March 2024],Expense Growth % [April 2024],Expense Growth % [May 2024],Expense Growth % [June 2024],Expense Growth % [July 2024],Expense Growth % [August 2024],Expense Growth % [September 2024],Expense Growth % [October 2024],Expense Growth % [November 2024],Expense Growth % [December 2024],Expense Growth % [January 2025],Expense Growth % [February 2025],Expense Growth % [March 2025],Expense Growth % [April 2025],Expense Growth % [May 2025],Expense Growth % [June 2025],Expense Ð GP Growth _ [%] [February 2024],Expense Ð GP Growth _ [%] [March 2024],Expense Ð GP Growth _ [%] [April 2024],Expense Ð GP Growth _ [%] [May 2024],Expense Ð GP Growth _ [%] [June 2024],Expense Ð GP Growth _ [%] [July 2024],Expense Ð GP Growth _ [%] [August 2024],Expense Ð GP Growth _ [%] [September 2024],Expense Ð GP Growth _ [%] [October 2024],Expense Ð GP Growth _ [%] [November 2024],Expense Ð GP Growth _ [%] [December 2024],Expense Ð GP Growth _ [%] [January 2025],Expense Ð GP Growth _ [%] [February 2025],Expense Ð GP Growth _ [%] [March 2025],Expense Ð GP Growth _ [%] [April 2025],Expense Ð GP Growth _ [%] [May 2025],Expense Ð GP Growth _ [%] [June 2025],GP Growth % (Anchor vs Prior Avg),Expense Growth % (Anchor vs Prior Avg),Expense Growth % [July 2025],GP Growth % [July 2025],Expense Ð GP Growth _ [%] [July 2025]
610750 Internet Hosting & Connectivity,164.71,164.71,172.06,172.06,172.06,111.72,111.72,111.72,111.72,111.72,111.72,111.72,111.72,111.72,111.72,111.72,111.72,147.43,18,FALSE,0,129.6483333,0.3673,-0.5783,25.62257884,Clamped,129.6483333,0,129.6483333,129.1615341,147.43,65.65742531,147.43,129.6483333,128.6023529,129.6483333,18.82764706,0.146402042,1.431348378,Expenses Grew Faster Than GP,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,-3.178359133,2719.014396,Expenses trending down,Below Threshold,13,610750,0,1.137153068,147.43,0.5346,147.43,0,0,128.6023529,21,13.83284614,8.749732832,5.177623911,0,0,0,0,0,0,8.552209578,0,0,1.67359394,7.534112411,0,14.53520754,26.77164799,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,86.82697434,8,7,1,"February 2024, March 2024, April 2024, November 2024, February 2025, March 2025, May 2025, June 2025","February 2024, March 2024, April 2024, November 2024, February 2025, March 2025, May 2025",March 2024,0,4.46238844,0,0,-35.06916192,0,0,0,0,0,0,0,0,0,0,0,31.96383817,13.39830377,10.31220499,8.00919674,-15.82695074,-25.49478822,-16.06047983,-1.339050877,-20.60298753,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,28.96316504,10.22826058,14.64020419,0,0,0
610800 Repairs and Maintenance-Office,45.37,0,0,3521.9,1600,1453.52,723.86,0,0,655.5,875,1900,1000,1000,1453.49,1981.63,2314.25,911,14,FALSE,0,1079.751111,0.0004,-0.337,-177.7225796,Clamped,1079.751111,0,1079.751111,1089.677647,911,546.8151893,911,1079.751111,1089.677647,1079.751111,-178.6776471,-0.16397294,-1.603136119,Costs Declined While GP Grew,3,Strong Cost Control,Over-scaled,Margin Improvement,Stable or Fixed Ð Low Concern,Not Marketing,54.72105263,2719.014396,Expenses trending up,"Profit_ 10.2%, Expense did not rise as much",34,610800,0,0.843712954,911,0,911,0,0,1089.677647,21,0,0,3521.9,0,0,0,0,0,655.5,269.6787807,948.0390904,0,14.98025367,520.9274544,154.3535163,590.4377884,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,6675.816884,7,5,7,"April 2024, November 2024, December 2024, February 2025, March 2025, April 2025, May 2025","April 2024, November 2024, February 2025, March 2025, May 2025","May 2024, July 2024, November 2024, January 2025, March 2025, May 2025, June 2025",-100,0,0,-54.56997643,-9.155,-50.19951566,-100,0,0,33.48588863,117.1428571,-47.36842105,0,45.349,36.3359913,16.7851718,-60.63519499,-86.60169623,5.849816546,8.00919674,-70.39692717,0.419373699,-66.25999549,-101.3390509,-20.60298753,-19.04977011,46.14092764,113.3473246,-63.39787968,6.498025367,57.09274544,15.61951003,34.79556166,-63.63586811,10.22826058,-16.39729396,0,0,0
610801 Security Expense,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,44.95,18,FALSE,0,44.95,0,0,-7.10543E-15,Clamped,44.95,0,44.95,44.95,44.95,22.7638967,44.95,44.95,44.95,44.95,-7.10543E-15,-1.58074E-16,-1.54546E-15,Costs Flat,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,0,2719.014396,Expenses trending flat,Below Threshold,19,610801,0,1,44.95,0,44.95,0,0,44.95,21,3.775037544,0.381992537,1.352633935,0,2.056180978,0,0,0,0,3.440940034,0,0,0.673362402,3.031313577,0,5.848170239,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,20.55963125,8,8,0,"February 2024, March 2024, April 2024, June 2024, November 2024, February 2025, March 2025, May 2025","February 2024, March 2024, April 2024, June 2024, November 2024, February 2025, March 2025, May 2025",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39830377,5.849816546,8.00919674,-15.82695074,9.574373699,-16.06047983,-1.339050877,-20.60298753,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,-1.58074E-14,0,0,0
610810 Cleaning office,1000,1200,1000,1000,2000,0,1000,1000,1000,1333,0,0,0,0,0,0,0,1200,10,FALSE,0,651.8333333,0.226,0.1425,696.6463212,Clamped,651.8333333,0,651.8333333,627.714,782.2,330.1060438,782.2,651.8333333,619.5882353,651.8333333,580.4117647,0.936770151,9.158645734,Expenses Grew Faster Than GP,,Investigate - Potential Risk,Fixed or Consistent,Margin Risk,Margin Risk Ð Investigate,Not Marketing,-66.32301342,2719.014396,Expenses trending down,"Profit_ 10.2%, Expense rose more",4,610810,0,1.2,1200,0.252,782.2,417.8,53.41344925,619.5882353,4,283.9830377,0,30.0919674,791.7304926,0,1000,0,0,92.50229893,0,0,0,0,0,0,0,1200,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,3398.307797,4,2,1,"February 2024, April 2024, May 2024, October 2024","February 2024, April 2024",February 2024,20,-16.66666667,0,100,-100,0,0,0,33.3,-100,0,0,0,0,0,0,0,33.39830377,-10.81685012,8.00919674,84.17304926,-90.4256263,-16.06047983,-1.339050877,-20.60298753,14.25022989,-87.34496099,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,93.6770151,0,0,0
610900 Office Supplies,1122.32,960.88,1705.6,1668.92,1960.54,1394.79,933.5,1609.96,2881.11,3056,1706.8,1729.1,1228.61,2247.1,4010.23,2828.83,2536.34,1821.78,18,FALSE,0,1966.800556,0.2138,0.9491,-329.5086252,Clamped,1966.800556,0,1966.800556,1973.389607,1821.78,996.0410385,1821.78,1966.800556,1975.331176,1966.800556,-153.5511765,-0.077734396,-0.759996245,Costs Declined While GP Grew,,Strong Cost Control,Variable,Margin Improvement,Neutral Ð Keep Watching,Not Marketing,84.35326109,2719.014396,Expenses trending up,"Profit_ 10.2%, Expense did not rise as much",33,610900,0,0.926265754,1821.78,0.2276,1821.78,0,0,1975.331176,21,0,752.8857172,14.6448596,0,0,0,617.2849601,858.9521419,0,0,0,0,1036.894889,1914.668704,0,75.55181128,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,5270.883083,7,5,7,"March 2024, April 2024, August 2024, September 2024, February 2025, March 2025, May 2025","March 2024, April 2024, February 2025, March 2025, May 2025","March 2024, July 2024, January 2025, February 2025, March 2025, April 2025, June 2025",-14.38448927,77.50395471,-2.150562852,17.47357573,-28.85684556,-33.07236215,72.46491698,78.95537777,6.070229877,-44.14921466,1.306538552,-28.94511596,82.89774623,78.46246273,-29.45965693,-10.33961037,-28.17287903,-0.986185503,83.35377125,5.858633889,1.646624984,-19.28247186,-49.13284198,71.1258661,58.35239024,-12.97954023,-31.49417565,-2.488993979,-44.97457458,89.3957716,90.20620817,-50.17613821,7.670779484,-31.17355215,10.22826058,-7.773439629,0,0,0
611000 Computer Supplies,0,0,0,0,0,99.95,99.95,199.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,99.95,13,FALSE,0,77.74166667,0.212,-0.4014,9.932369343,Clamped,77.74166667,0,77.74166667,76.72792157,93.29,39.3704843,93.29,77.74166667,76.43529412,77.74166667,23.51470588,0.307641989,3.007764481,Expenses Grew Faster Than GP,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,6.39499484,2719.014396,Expenses trending up,Below Threshold,12,611000,0,1.2,99.95,0.224,93.29,6.66,7.139028835,76.43529412,18,0,0,0,0,99.95,0,93.66411865,0,0,7.651211487,0,0,1.497276354,6.740373572,0,13.00388466,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,222.5068647,6,5,1,"June 2024, August 2024, November 2024, February 2025, March 2025, May 2025","June 2024, November 2024, February 2025, March 2025, May 2025",September 2024,0,0,0,0,0,0,100.050025,-50.01250313,0,0,0,0,0,0,0,0,0,13.39830377,5.849816546,8.00919674,-15.82695074,9.574373699,-16.06047983,98.71097414,-70.61549066,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,30.76419886,0,0,0
611200 Postage & Delivery,0,0,0,0,16.87,0,0,0,0,14.73,0,171.86,0,0,0,48.87,0,0,4,FALSE,0,14.01833333,0.0677,1.5418,-19.23405666,Clamped,14.01833333,0,14.01833333,14.84294118,11.21466667,7.099263447,11.21466667,14.01833333,14.84294118,14.01833333,-14.84294118,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,1.400939112,2719.014396,Expenses trending up,Below Threshold,23,611200,0,0.8,0,0,11.21466667,-11.21466667,-100,14.84294118,17,0,0,0,16.87,0,0,0,0,14.73,0,171.86,0,0,0,48.87,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,252.33,0,0,0,,,,0,0,0,0,-100,0,0,0,0,-100,0,-100,0,0,0,-100,0,13.39830377,5.849816546,8.00919674,-15.82695074,-90.4256263,-16.06047983,-1.339050877,-20.60298753,-19.04977011,-87.34496099,-3.79553253,-116.0294586,6.498025367,11.74374544,-20.71648128,-81.98961015,-3.000673122,10.22826058,-100,0,0,0
611300 Dues & Subscriptions,801.02,6.41,6.41,6.41,6.41,11.76,137.83,12.83,12.83,413.83,12.83,12.83,784.42,0,0,0,0,0,13,FALSE,0,123.6566667,0.0836,5.6728,-160.5973817,Clamped,123.6566667,0,123.6566667,130.9305882,98.92533333,62.62308313,98.92533333,123.6566667,130.9305882,123.6566667,-130.9305882,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,-9.02002064,2719.014396,Expenses trending down,Below Threshold,31,611300,0,0.8,0,0,98.92533333,-98.92533333,-100,130.9305882,7,0,0.054473241,0.192889511,0,5.643217354,123.5932876,0,0,397.9144145,0,0,768.8919205,0,0,0,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,1296.290203,6,3,2,"March 2024, April 2024, June 2024, July 2024, October 2024, January 2025","March 2024, April 2024, June 2024","June 2024, August 2024",-99.19977029,0,0,0,83.46333853,1072.02381,-90.69143147,0,3125.48714,-96.89969311,0,6013.951676,-100,0,0,0,0,-85.80146652,5.849816546,8.00919674,-15.82695074,93.03771223,1055.96333,-92.03048235,-20.60298753,3106.437369,-84.2446541,-3.79553253,5997.922217,-93.50197463,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,-100,0,0,0
612000 Professional Fees,3416.71,3108.37,4398.43,4152.62,3250.52,3686.57,4141.04,3558.31,3019.28,3447,5442.65,5268.53,4307.15,5148.82,5609.51,8153.19,6663.22,4627.39,18,FALSE,0,4522.183889,0.2731,0.6811,-237.9373673,Clamped,4522.183889,0,4522.183889,4518.137786,4627.39,2290.156327,4627.39,4522.183889,4515.995294,4522.183889,111.3947059,0.024666701,0.241162228,Expenses Grew Slower Than GP,,Review Volatility,Semi-variable,Margin Improvement,Neutral Ð Keep Watching,Not Marketing,177.3879567,2719.014396,Expenses trending up,"Profit_ 10.2%, Expense did not rise as much",6,612000,0,1.023264448,4627.39,0.3462,4627.39,0,0,4515.995294,21,0,1316.475443,0,0,584.740932,0,0,0,0,2259.519195,0,0,906.1921996,807.9133142,1101.111411,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,6975.952494,6,5,11,"March 2024, June 2024, November 2024, February 2025, March 2025, April 2025","March 2024, June 2024, November 2024, February 2025, March 2025","March 2024, May 2024, June 2024, August 2024, September 2024, November 2024, December 2024, January 2025, February 2025, March 2025, June 2025",-9.024470909,41.5027812,-5.588585018,-21.72363472,13.41477671,12.32771926,-14.07206885,-15.14848341,14.1662913,57.89527125,-3.199176872,-18.24759468,19.54122796,8.947486997,45.34585017,-18.27468758,-30.55324603,4.37383286,47.35259775,2.420611722,-37.55058546,22.98915041,-3.732760566,-15.41111973,-35.75147094,-4.883478806,70.55031026,-6.994709402,-34.27705331,26.03925332,20.69123244,24.62936889,-0.264297723,-33.55391915,10.22826058,2.466670105,0,0,0
613000 Insurance,3778.55,2654.47,3219.89,3267.46,3286.07,5470.76,2557.07,2345.07,4386.76,6581.79,8769.04,3845.49,4408.42,5420.92,5500.48,5538.12,6690.39,4575.37,18,FALSE,0,4572.006667,0.2981,1.0764,-445.4674033,Clamped,4572.006667,0,4572.006667,4571.887209,4575.37,2315.387931,4575.37,4572.006667,4571.808824,4572.006667,3.561176471,0.000778943,0.007615592,Expenses Grew Slower Than GP,,Review Volatility,Variable,Margin Improvement,Neutral Ð Keep Watching,Not Marketing,173.8609494,2719.014396,Expenses trending up,"Profit_ 10.2%, Expense did not rise as much",17,613000,0,1.000735636,4575.37,0.3962,4575.37,0,0,4571.808824,21,0,587.9781253,144.4628249,0,2335.007122,0,0,1441.28202,1140.024305,2691.088592,0,0,1078.53925,445.1330455,0,1872.801003,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,11736.31629,9,7,11,"March 2024, April 2024, June 2024, September 2024, October 2024, November 2024, February 2025, March 2025, May 2025","March 2024, April 2024, June 2024, November 2024, February 2025, March 2025, May 2025","March 2024, April 2024, June 2024, July 2024, August 2024, November 2024, December 2024, February 2025, March 2025, May 2025, June 2025",-29.74897778,21.30067396,1.477379662,0.569555557,66.48336767,-53.25932777,-8.29073901,87.06307274,50.03761318,33.23184119,-56.14696706,14.63870664,22.96741236,1.467647558,0.684303915,20.80615805,-31.61280583,-16.35067401,27.1504905,9.486576402,-15.25739518,76.05774137,-69.3198076,-9.629789887,66.46008521,30.98784307,45.88688019,-59.94249959,-1.390751987,29.46543773,13.211393,-20.03217736,38.8165479,-34.61347895,10.22826058,0.077894256,0,0,0
614000 Advertising and Marketing,14441.7,5213.45,4615.96,23008.34,6924.88,7639.97,5939.05,6763.4,6474.33,8620.64,5236.09,6642.2,5242.32,5990.31,10020.51,6759.44,10043.54,9537.39,18,FALSE,0,8284.084444,0.0863,-0.4192,1880.346362,Clamped,8284.084444,0,8284.084444,8210.360588,9537.39,4195.284595,9537.39,8284.084444,8210.360588,8284.084444,1327.029412,0.16162864,1.580216287,Expenses Grew Faster Than GP,,Investigate - Potential Risk,Over-scaled,Margin Risk,Margin Risk Ð Investigate,Inefficient,-154.8373168,2719.014396,Expenses trending down,"Profit_ 10.2%, Expense rose more",3,614000,0,1.151290775,9537.39,0,9537.39,0,0,8210.360588,21,0,0,18531.28332,0,1031.859889,0,447.8705989,0,589.248519,0,945.5680007,0,826.5212834,4434.171258,0,4163.529496,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,30970.05236,8,5,11,"April 2024, June 2024, August 2024, October 2024, December 2024, February 2025, March 2025, May 2025","April 2024, June 2024, February 2025, March 2025, May 2025","April 2024, May 2024, June 2024, July 2024, September 2024, January 2025, February 2025, March 2025, April 2025, May 2025, June 2025",-63.90002562,-11.46054916,398.451893,-69.90273962,10.32638833,-22.26343821,13.88016602,-4.27403377,33.15107509,-39.26100614,26.85419846,-21.07554726,14.26830106,67.27865503,-32.54395235,48.58538577,-5.039557765,-50.50172185,-5.610732611,406.4610897,-85.72969036,19.90076203,-38.32391804,12.54111514,-24.8770213,14.10130498,-26.60596714,23.05866593,-37.10500589,20.76632642,79.02240047,-53.26043363,66.59577562,-8.040230888,10.22826058,16.16286395,0,0,0
615000 Travel Expense,368.89,1672.39,405.13,1518.68,3379.58,1171.12,787.85,1077.38,1779.38,2936.97,1551.86,1595.49,1147.6,734.36,1746.28,2560.97,3460.01,4033.77,18,FALSE,0,1773.761667,0.0753,1.033,2115.954473,Clamped,1773.761667,0,1773.761667,1640.82,2128.514,898.28092,2128.514,1773.761667,1640.82,1773.761667,2392.95,1.45838666,14.25840346,Expenses Grew Faster Than GP,,Investigate - Potential Risk,Variable,Margin Risk,Margin Risk Ð Investigate,Not Marketing,105.5669659,2719.014396,Expenses trending up,"Profit_ 10.2%, Expense rose more",2,615000,0,1.2,4033.77,0,2128.514,1905.256,89.51108614,1640.82,2,1334.480503,0,1125.741159,1544.605264,0,0,239.5877877,426.1585329,729.6532007,0,0,0,0,1061.443369,365.6082307,1232.232181,296.9359099,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,8356.446138,10,4,6,"February 2024, April 2024, May 2024, August 2024, September 2024, October 2024, March 2025, April 2025, May 2025, June 2025","February 2024, April 2024, March 2025, May 2025","February 2024, April 2024, July 2024, January 2025, March 2025, May 2025",353.3573694,-75.77538732,274.8623899,122.5340427,-65.34717332,-32.72679145,36.74938123,65.15806865,65.05580595,-47.16118993,2.811464952,-28.07225367,-36.00906239,137.7961763,46.65288499,35.10544833,16.58261103,366.7556732,-69.92557077,282.8715866,106.707092,-55.77279962,-48.78727128,35.41033035,44.55508111,46.00603585,-34.50615093,-0.984067579,-44.10171229,-29.51103702,149.5399217,25.93640371,53.11583818,13.58193791,10.22826058,145.838666,0,0,0
616000 Med. Reimburse-Employee,0,44.21,0,0,86.29,0,0,0,150,0,192.14,0,0,0,140,45.74,0,0,6,FALSE,0,36.57666667,0.0102,0.5529,-39.64160317,Clamped,36.57666667,0,36.57666667,38.72823529,29.26133333,18.52341405,29.26133333,36.57666667,38.72823529,36.57666667,-38.72823529,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,1.157151703,2719.014396,Expenses trending up,Below Threshold,27,616000,0,0.8,0,0,29.26133333,-29.26133333,-100,38.72823529,13,44.21,0,0,86.29,0,0,0,150,0,192.14,0,0,0,140,0,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,612.64,3,3,1,"February 2024, November 2024, March 2025","February 2024, November 2024, March 2025",April 2025,0,-100,0,0,-100,0,0,0,-100,0,-100,0,0,0,-67.32857143,-100,0,13.39830377,-94.15018345,8.00919674,-15.82695074,-90.4256263,-16.06047983,-1.339050877,-20.60298753,-119.0497701,12.65503901,-103.7955325,-16.02945863,6.498025367,11.74374544,-88.04505271,-81.98961015,-3.000673122,10.22826058,-100,0,0,0
616100 Med. Reimburse-Officers,0,48.5,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,2.923888889,0,0,0,Insufficient-data,2.923888889,0,2.923888889,3.095882353,2.339111111,1.480736477,2.339111111,2.923888889,3.095882353,2.923888889,-3.095882353,-1,-9.776833436,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,-0.789133127,2719.014396,Expenses trending down,Below Threshold,20,616100,0,0.8,0,0,2.339111111,-2.339111111,-100,3.095882353,19,48.5,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,52.63,1,1,0,February 2024,February 2024,,0,-100,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,13.39830377,-94.15018345,8.00919674,-15.82695074,-90.4256263,-16.06047983,-1.339050877,-20.60298753,-19.04977011,12.65503901,-3.79553253,-16.02945863,6.498025367,11.74374544,-20.71648128,18.01038985,-3.000673122,10.22826058,-100,0,0,0
616200 Training/Education,300,300,475,300,785,1892,300,300,300,300,850,300,300,300,300,200,380,325,18,FALSE,0,455.9444444,0.161,-1.181,-53.43598888,Clamped,455.9444444,0,455.9444444,462.7073399,364.7555556,230.9026081,364.7555556,455.9444444,463.6470588,455.9444444,-138.6470588,-0.299035778,-2.92362299,Costs Declined While GP Grew,,Below Threshold,Below Threshold,Below Threshold,Below Threshold,Not Marketing,-16.31475748,2719.014396,Expenses trending down,Below Threshold,32,616200,0,0.8,325,0.122,364.7555556,-39.75555556,-10.89923236,463.6470588,11,25.19491131,177.5494496,0,422.5191478,1142.908834,0,0,0,0,572.965117,0,0,4.4940761,20.23123633,0,206.0207797,0,-13.39830377,-5.849816546,-8.00919674,15.82695074,-9.574373699,16.06047983,1.339050877,20.60298753,19.04977011,-12.65503901,3.79553253,16.02945863,-6.498025367,-11.74374544,20.71648128,-18.01038985,3.000673122,2571.883551,8,7,8,"February 2024, March 2024, May 2024, June 2024, November 2024, February 2025, March 2025, May 2025","February 2024, March 2024, June 2024, November 2024, February 2025, March 2025, May 2025","March 2024, June 2024, July 2024, November 2024, December 2024, April 2025, May 2025, June 2025",0,58.33333333,-36.84210526,161.6666667,141.0191083,-84.14376321,0,0,0,183.3333333,-64.70588235,0,0,0,-33.33333333,90,-14.47368421,13.39830377,64.18314988,-28.83290852,145.8397159,150.593482,-100.204243,-1.339050877,-20.60298753,-19.04977011,195.9883723,-68.50141488,-16.02945863,6.498025367,11.74374544,-54.04981461,108.0103899,-17.47435733,10.22826058,-29.90357777,0,0,0
